Субъект;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
Республика  Северная Осетия;798,7;798,7;798,7;798,7;798,7;798,7;798,7;798,7;798,7;798,7;798,7;798,7;798,7;798,7;798,7;798,7;798,7;798,7;798,7;798,7;798,7;798,7;798,7;798,7
Республика  Татарстан;6784,7;6784,7;6784,7;6784,7;6784,7;6784,7;6784,7;6784,7;6784,7;6784,7;6784,7;6784,7;6784,7;6784,7;6784,7;6784,7;6784,7;6784,7;6784,7;6784,7;6784,7;6784,7;6784,7;6784,7
Республика  Тыва;16860,4;16860,4;16860,4;16860,4;16860,4;16860,4;16860,4;16860,4;16860,4;16860,4;16860,4;16860,4;16860,4;16860,4;16860,4;1686,4;16860,4;16860,4;16860,4;16860,4;16860,4;16860,4;16860,4;16860,4
Республика  Хакасия;6156,9;6156,9;6156,9;6156,9;6156,9;6156,9;6156,9;6156,9;6156,9;6156,9;6156,9;6156,9;6156,9;6156,9;6156,9;6156,9;6156,9;6156,9;6156,9;6156,9;6156,9;6156,9;6156,9;6156,9
Республика Ингушетия;362,8;362,8;362,8;362,8;362,8;362,8;362,8;362,8;362,8;362,8;362,8;362,8;362,8;362,8;362,8;362,8;362,8;362,8;362,8;362,8;362,8;362,8;362,8;310,4
Республика Саха (Якутия);308352,3;308352,3;308352,3;308352,3;308352,3;308352,3;308352,3;308352,3;308352,3;308352,3;308352,3;308352,3;308352,3;308352,3;308352,3;38352,3;308352,3;308352,3;308352,3;308352,3;308352,3;308352,3;308352,3;308352,3
Российская Федерация;1709824,2;1709824,2;1709824,2;1709824,2;1709824,2;1709824,2;1709824,2;1709824,2;1709824,2;1709824,2;1709824,2;1709824,2;1709824,6;1709824,6;1709824,6;179824,6;1709911;1712519,1;1712519,1;1712519,1;1712519,1;1712519,1;1712571,5;1712519,2
Ростовская область;10096,7;10096,7;10096,7;10096,7;10096,7;10096,7;10096,7;10096,7;10096,7;10096,7;10096,7;10096,7;10096,7;10096,7;10096,7;196,7;10096,7;10096,7;10096,7;10096,7;10096,7;10096,7;10096,7;10096,7
Рязанская область;3960,5;3960,5;3960,5;3960,5;3960,5;3960,5;3960,5;3960,5;3960,5;3960,5;3960,5;3960,5;3960,5;3960,5;3960,5;396,5;3960,5;3960,5;3960,5;3960,5;3960,5;3960,5;3960,5;3960,5
Самарская область;5356,5;5356,5;5356,5;5356,5;5356,5;5356,5;5356,5;5356,5;5356,5;5356,5;5356,5;5356,5;5356,5;5356,5;5356,5;5356,5;5356,5;5356,5;5356,5;5356,5;5356,5;5356,5;5356,5;5356,5
Саратовская область;10124;10124;10124;10124;10124;10124;10124;10124;10124;10124;10124;10124;10124;10124;10124;1124;10124;10124;10124;10124;10124;10124;10124;10124
Сахалинская область;8710,1;8710,1;8710,1;8710,1;8710,1;8710,1;8710,1;8710,1;8710,1;8710,1;8710,1;8710,1;8710,1;8710,1;8710,1;871,1;8710,1;8710,1;8710,1;8710,1;8710,1;8710,1;8710,1;8710,1
Свердловская область;19430,7;19430,7;19430,7;19430,7;19430,7;19430,7;19430,7;19430,7;19430,7;19430,7;19430,7;19430,7;19430,7;19430,7;19430,7;1943,7;19430,7;19430,7;19430,7;19430,7;19430,7;19430,7;19422,6;19422,6
Северо-Западный федеральный округ;;;;;;;;;;;;168696,8;168697,2;;;;;;;;;;;
Северо-Кавказский федеральный округ;;;;;;;;;;;;17043,9;17043,9;;;;;;;;;;;
Сибирский федеральный округ;;;;;;;;;;;;514495,3;514495,3;;;;;;;;;;;
Смоленская область;4977,9;4977,9;4977,9;4977,9;4977,9;4977,9;4977,9;4977,9;4977,9;4977,9;4977,9;4977,9;4977,9;4977,9;4977,9;4977,9;4977,9;4977,9;4977,9;4977,9;4977,9;4977,9;4977,9;4977,9
Ставропольский  край;6616;6616;6616;6616;6616;6616;6616;6616;6616;6616;6616;6616;6616;6616;6616;6616;6616;6616;6616;6616;6616;6616;6616;6616
Тамбовская область;3446,2;3446,2;3446,2;3446,2;3446,2;3446,2;3446,2;3446,2;3446,2;3446,2;3446,2;3446,2;3446,2;3446,2;3446,2;3446,2;3446,2;3446,2;3446,2;3446,2;3446,2;3446,2;3446,2;3446,2
Тверская область;8420,1;8420,1;8420,1;8420,1;8420,1;8420,1;8420,1;8420,1;8420,1;8420,1;8420,1;8420,1;8420,1;8420,1;8420,1;842,1;8420,1;8420,1;8420,1;8420,1;8420,1;8420,1;8420,1;8420,1
Томская область;31439,1;31439,1;31439,1;31439,1;31439,1;31439,1;31439,1;31439,1;31439,1;31439,1;31439,1;31439,1;31439,1;31439,1;31439,1;31439,1;31439,1;31439,1;31439,1;31439,1;31439,1;31439,1;31439,1;31439,1
Тульская область;2567,9;2567,9;2567,9;2567,9;2567,9;2567,9;2567,9;2567,9;2567,9;2567,9;2567,9;2567,9;2567,9;2567,9;2567,9;2567,9;2567,9;2567,9;2567,9;2567,9;2567,9;2567,9;2567,9;2567,9
Тюменская область (кроме АО);16012,2;16012,2;16012,2;16012,2;16012,2;16012,2;16012,2;16012,2;16012,2;16012,2;16012,2;16012,2;16012,2;16012,2;16012,2;1612,2;16012,2;16012,2;16012,2;16012,2;16012,2;16012,2;16012,8;16012,8
Удмуртская  Республика;4206,1;4206,1;4206,1;4206,1;4206,1;4206,1;4206,1;4206,1;4206,1;4206,1;4206,1;4206,1;4206,1;4206,1;4206,1;426,1;4206,1;4206,1;4206,1;4206,1;4206,1;4206,1;4206,1;4206,1
Ульяновская область;3718,1;3718,1;3718,1;3718,1;3718,1;3718,1;3718,1;3718,1;3718,1;3718,1;3718,1;3718,1;3718,1;3718,1;3718,1;3718,1;3718,1;3718,1;3718,1;3718,1;3718,1;3718,1;3718,1;3718,1
Уральский федеральный округ;;;;;;;;;;;;181849,7;181849,7;;;;;;;;;;;
Хабаровский край;78763,3;78763,3;78763,3;78763,3;78763,3;78763,3;78763,3;78763,3;78763,3;78763,3;78763,3;78763,3;78763,3;78763,3;78763,3;78763,3;78763,3;78763,3;78763,3;78763,3;78763,3;78763,3;78763,3;78763,3
Ханты-Мансийский а.о.;53480,1;53480,1;53480,1;53480,1;53480,1;53480,1;53480,1;53480,1;53480,1;53480,1;53480,1;53480,1;53480,1;53480,1;53480,1;5348,1;53480,1;53480,1;53480,1;53480,1;53480,1;53480,1;53480,1;53480,1
Центральный федеральный округ;;;;;;;;;;;;65020,5;65020,5;;;;;;;;;;;
Челябинская область;8852,9;8852,9;8852,9;8852,9;8852,9;8852,9;8852,9;8852,9;8852,9;8852,9;8852,9;8852,9;8852,9;8852,9;8852,9;8852,9;8852,9;8852,9;8852,9;8852,9;8852,9;8852,9;8860,4;8860,4
Чеченская Республика;1564,7;1564,7;1564,7;1564,7;1564,7;1564,7;1564,7;1564,7;1564,7;1564,7;1564,7;1564,7;1564,7;1564,7;1564,7;1564,7;1564,7;1564,7;1564,7;1564,7;1564,7;1564,7;1617,1;1617,1
Чувашская Республика;1834,3;1834,3;1834,3;1834,3;1834,3;1834,3;1834,3;1834,3;1834,3;1834,3;1834,3;1834,3;1834,3;1834,3;1834,3;1834,3;1834,3;1834,3;1834,3;1834,3;1834,3;1834,3;1834,3;1834,3
Чукотский а.о.;72148,1;72148,1;72148,1;72148,1;72148,1;72148,1;72148,1;72148,1;72148,1;72148,1;72148,1;72148,1;72148,1;72148,1;72148,1;72148,1;72148,1;72148,1;72148,1;72148,1;72148,1;72148,1;72148,1;72148,1
Южный федеральный округ;;;;;;;;;;;;42087,6;42087,6;;;;;;;;;;;
Ямало-Ненецкий а.о.;76925;76925;76925;76925;76925;76925;76925;76925;76925;76925;76925;76925;76925;76925;76925;76925;76925;76925;76925;76925;76925;76925;76925;76925
Ярославская область;3617,7;3617,7;3617,7;3617,7;3617,7;3617,7;3617,7;3617,7;3617,7;3617,7;3617,7;3617,7;3617,7;3617,7;3617,7;3617,7;3617,7;3617,7;3617,7;3617,7;3617,7;3617,7;3617,7;3617,7
