Субъект;Место;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
        Мурманская область;сельское население;;;;;;;;;;;;;;;;;;;;;;362;316;340;314;225;232;257;222;223;194;209
        Новгородская область;все население;2740;3102;3522;3710;3856;3520;2812;2671;2063;2477;2861;3468;3876;3510;2732;2822;2969;3179;3226;3429;2984;3052;3087;2785;3105;2784;2790;2806;2667;2808;2731;2740
        Новгородская область;городское население;;;;;;;;;;;;;;;;;;;;;;2294;2282;2079;2259;2091;2104;2128;1989;2171;2021;2093
        Новгородская область;сельское население;;;;;;;;;;;;;;;;;;;;;;758;805;706;846;693;686;678;678;637;710;647
        Псковская область;все население;2976;3224;3786;4323;4334;4343;3123;2855;2416;2731;3279;3825;4126;3613;2889;2700;2840;3112;3295;3326;2986;3229;3091;3323;3121;2752;2800;2824;2702;2600;2569;2946
        Псковская область;городское население;;;;;;;;;;;;;;;;;;;;;;2392;2273;2544;2313;2076;2145;2152;2010;2112;1924;2250
        Псковская область;сельское население;;;;;;;;;;;;;;;;;;;;;;837;818;779;808;676;655;672;692;488;645;696
        Город Санкт-Петербург город федерального значения;все население;27771;27111;28254;28668;26875;24498;21159;23171;21671;23362;27097;30377;32637;31740;24465;22643;23871;25794;26814;26285;24712;25428;24493;26663;26642;24654;25053;24883;25928;26958;22761;25600
        Город Санкт-Петербург город федерального значения;городское население;;;;;;;;;;;;;;;;;;;;;;25428;24493;26663;26642;24654;25053;24883;25928;26958;22761;25600
        Город Санкт-Петербург город федерального значения;сельское население;;;;;;;;;;;;;;;;;;;;;;0;0;0;0;0;0;0;0;0;0;0
    Южный федеральный округ;все население;81224;83936;85095;83372;88691;87971;76156;75910;66263;72472;83687;99259;107692;101065;81977;75905;80837;88375;91046;91525;62502;65448;60690;65609;67858;61392;69000;69742;64316;71428;67410;73676
    Южный федеральный округ;городское население;;;;;;;;;;;;;;;;;;;;;;43133;39761;43244;44775;40829;46103;46620;43669;48736;45504;49838
    Южный федеральный округ;сельское население;;;;;;;;;;;;;;;;;;;;;;22315;20929;22365;23083;20563;22897;23122;20647;22692;21906;23838
        Республика Адыгея (Адыгея);все население;1836;1827;1925;1896;2134;1816;1806;1892;1617;1908;2021;2279;2523;2586;1819;1566;1583;1701;1757;1758;1698;1849;1767;1905;1842;1581;1651;1653;1627;1691;1664;1818
        Республика Адыгея (Адыгея);городское население;;;;;;;;;;;;;;;;;;;;;;1044;883;1005;927;828;865;831;828;922;818;886
        Республика Адыгея (Адыгея);сельское население;;;;;;;;;;;;;;;;;;;;;;805;884;900;915;753;786;822;799;769;846;932
        Республика Калмыкия;все население;843;911;1053;1081;1096;1081;919;817;780;830;976;1239;1207;1151;1005;949;1001;1138;1168;1257;1059;1269;1179;1286;1279;1025;1053;985;1017;1020;913;1095
        Республика Калмыкия;городское население;;;;;;;;;;;;;;;;;;;;;;689;628;709;667;543;572;525;556;569;480;631
        Республика Калмыкия;сельское население;;;;;;;;;;;;;;;;;;;;;;580;551;577;612;482;481;460;461;451;433;464
        Республика Крым;все население;;;;;;;;;;;;;;;;;;;;;;;;;;5673;6275;6786;6878;7077;7292;7138
        Республика Крым;городское население;;;;;;;;;;;;;;;;;;;;;;;;;;3369;3610;3806;3915;4168;4187;4011
        Республика Крым;сельское население;;;;;;;;;;;;;;;;;;;;;;;;;;2304;2665;2980;2963;2909;3105;3127
