Субъект;1990;1991;1992;1993;1994;1995;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017;2018;2019;2020;2021
        Новосибирская область;;;;72896;71726;75005;60275;58089;57337;50630;47859;42677;43303;43603;39469;40721;40446;39200;37183;39006;58902;71478;75343;67722;72974;68650;75624;82839;71552;70915;66083
        Омская область;;;;71151;69088;73820;59631;60321;60007;56121;55056;50595;48936;47475;42119;39855;38985;31272;27188;30485;49039;56983;57536;58309;59965;61037;63935;66707;61054;51274;50043
        Томская область;;;;28679;27971;29624;25112;23525;24230;21020;20212;19248;18967;18099;17409;16208;17296;17177;15549;17588;26571;37553;38614;38518;40337;40447;42483;41105;37525;35370;29843
    Дальневосточный федеральный округ;;;;351648;370531;339156;259658;253323;237626;193761;170089;161632;159051;141466;135499;133101;135504;134688;111791;124319;205101;252021;271164;265614;271985;268397;273776;361609;341647;309249;304419
        Республика Бурятия;;;;31875;31816;31296;26831;25937;25165;24065;22576;21656;21639;23066;23159;27006;28229;26128;22879;23386;34731;39714;41093;41846;45509;46758;43977;45751;44350;41200;43336
        Забайкальский край;;;;42143;40442;42931;36880;36023;34985;33031;30655;29159;26251;23511;21367;23140;22360;23261;22796;24180;34731;35376;35623;36078;37300;34523;35860;36683;34572;28972;29715
        Республика Саха (Якутия);;;;55739;62042;46989;41250;43545;42535;35104;32514;27776;26125;24671;24197;26280;30751;28672;22012;21679;36199;41364;42172;38194;41843;40868;45373;45278;42634;41290;47659
        Камчатский край;;;;26090;27603;24857;16625;14551;13054;10079;8526;8322;8515;6876;6744;6901;7355;7763;6587;7083;9867;12057;15179;16368;14970;14366;13101;15539;15760;13547;11981
        Приморский край;;;;78994;79571;82568;66065;65313;57110;43587;38479;38350;37606;33647;29391;30897;30944;30538;26930;31358;58379;74770;79834;79415;80149;80267;81210;82567;79762;70914;68309
        Хабаровский край;;;;53442;51361;52555;42080;40059;38584;31673;28656;26443;26946;24168;23326;23543;24476;24054;20337;24637;37866;52849;60231;58382;59448;58633;59153;58143;54035;46404;45382
        Амурская область;;;;47129;46565;45287;37042;35412;35090;31709;29663;29495;30329;26768;27378;22318;20562;20027;16801;19027;28862;29749;31936;31204;33692;32031;31688;32788;29592;28100;24371
        Магаданская область;;;;31462;37518;25196;15847;15667;15579;12748;10335;9753;8929;8361;7712;6953;6122;5891;4779;4867;7611;8496;8304;7998;7613;8622;9384;9746;8662;7527;7125
        Сахалинская область;;;;31320;37980;38805;25984;24369;20728;17461;13211;13056;12539;10762;10148;10401;9875;12079;9406;9860;17137;21898;21921;23078;22615;22458;22652;24651;21498;21400;16810
        Еврейская автономная область;;;;9807;9195;9026;8083;7888;8846;6220;5418;4803;4697;3952;4914;4232;3873;3978;3179;4081;6214;6547;6560;6007;6674;6356;6189;5299;5307;4422;4946
        Чукотский автономный округ;;;;17665;18696;13873;6682;6519;6100;5180;3287;3634;3365;2261;1689;1576;1546;1686;1760;1727;2966;4291;5027;4968;4981;4796;5026;5164;5475;5473;4785
